Ticket Priority,Ticket Subject,Ticket ID
Critical,Account access,113
Critical,Battery life,124
Critical,Cancellation request,126
Critical,Data loss,128
Critical,Delivery problem,127
Critical,Display issue,120
Critical,Hardware issue,155
Critical,Installation support,129
Critical,Network problem,142
Critical,Payment issue,133
Critical,Peripheral compatibility,115
Critical,Product compatibility,151
Critical,Product recommendation,129
Critical,Product setup,144
Critical,Refund request,156
Critical,Software bug,137
High,Account access,130
High,Battery life,134
High,Cancellation request,118
High,Data loss,128
High,Delivery problem,150
High,Display issue,121
High,Hardware issue,130
High,Installation support,142
High,Network problem,131
High,Payment issue,130
High,Peripheral compatibility,125
High,Product compatibility,143
High,Product recommendation,137
High,Product setup,119
High,Refund request,126
High,Software bug,121
Low,Account access,131
Low,Battery life,133
Low,Cancellation request,119
Low,Data loss,110
Low,Delivery problem,128
Low,Display issue,112
Low,Hardware issue,152
Low,Installation support,129
Low,Network problem,130
Low,Payment issue,120
Low,Peripheral compatibility,124
Low,Product compatibility,122
Low,Product recommendation,129
Low,Product setup,130
Low,Refund request,142
Low,Software bug,152
Medium,Account access,135
Medium,Battery life,151
Medium,Cancellation request,124
Medium,Data loss,125
Medium,Delivery problem,156
Medium,Display issue,125
Medium,Hardware issue,110
Medium,Installation support,130
Medium,Network problem,136
Medium,Payment issue,143
Medium,Peripheral compatibility,132
Medium,Product compatibility,151
Medium,Product recommendation,122
Medium,Product setup,136
Medium,Refund request,152
Medium,Software bug,164
